,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
92,False,/zOZqdv7UTc2sP2Tu5Cxj8j1M2r8.jpg,"[18, 35]",214999,['KR'],ko,나쁜 엄마,A tragic accident leaves an ambitious prosecutor with the mind of a child – forcing him and his mother to embark on a journey to heal their relationship.,12.3703,/vtDLhvpTk1xcaBCKubSH0if575G.jpg,2023-04-26,False,The Good Bad Mother,8.873,197
93,False,/6dxB0dFDeBwB3jwhKlLdPEKYFD6.jpg,"[18, 35]",76557,['KR'],ko,으라차차 와이키키,"Kang Dong-Goo dreams of becoming a movie director, but he is cynical due to bad luck. Cheon Joon-Ki wanted to follow in his father's footsteps and become an actor, but he is now just a minor actor. Bong-Doo-Sik came to Seoul to become a scenario writer, but things have not been easy for him.",12.3574,/pggzZamoLNTiRgoYz8WVCISMCqv.jpg,2018-02-05,False,Welcome to Waikiki,7.8,109
94,False,/4ODaZrnKT7iM6sfgDB8ud8FdrVr.jpg,"[18, 10759]",65143,['KR'],ko,태양의 후예,"After a chance meeting in a hospital, an ardent soldier falls for a gifted surgeon. Opposing philosophies tear them apart, but fate has other plans.",12.3306,/xxGomfml0x9iyPBS4StBjbRRu65.jpg,2016-02-24,False,Descendants of the Sun,8.317,830
95,False,/qvNH9kj8CFupCbCMcMgZ1sL0HKl.jpg,"[10751, 18]",128309,['KR'],ko,빨강 구두,"The series revolves around Kim Jem Ma, a daughter who has strong desire to take revenge from her heartless mother, who left her father and sick brother in search of love and desire for her success.",12.329,/4ikWisAoUMfNNIwsv6aM3b6Jvic.jpg,2021-07-05,False,Red Shoes,4.4,5
96,False,/dCZ1lUvyItP8z9phfmu871xlFIf.jpg,[18],227192,['KR'],ko,피라미드 게임,"Every last Thursday of the month at an all-girls high school, the students of Class 2–5 cast their votes in a popularity poll. The results classify them into Grades A, B, C, D, and F. If they fall into Grade F, they become legitimate victims of school violence.",12.2856,/pBUERwWNCuO36CPxiVFsoQCPu7W.jpg,2024-02-29,False,Pyramid Game,8.057,150
97,False,/26hCPlTtSqxnW6HMSzvir9umFCW.jpg,"[18, 10751]",237565,['KR'],ko,조립식 가족,A youth romance about two men and woman who aren't blood related but treated each other as family during their teens and how they meet again after 10 years.,12.2238,/drQh6tu7OupGBtE5zqVJB1AAGoa.jpg,2024-10-09,False,Family by Choice,8.043,94
98,False,/kTf8vPcZVONrBHB35hEg1lG2Bk.jpg,"[18, 10759, 80]",110534,['KR'],ko,D.P.,A young private's assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,12.1478,/akvPsqe1u1NpIQ8Ln2Vt06uhOv9.jpg,2021-08-27,False,D.P.,8.005,276
99,False,/daGuh4UzHFF8sSHrYHMw0mb2qBt.jpg,"[80, 10759, 18]",205082,['KR'],ko,비질란테,"Kim Ji-yong leads a double life as a Korean National Police University student by day and the Vigilante by night, personally punishing criminals who evade the law. He is surrounded by people who all possess different ulterior motives.",12.1178,/lauvBkCZhcZHj5uUwUxwr5GTPps.jpg,2023-11-08,False,Vigilante,8.483,116
100,False,/1c05ymtbhYCJQYj8NQkij9rJs0T.jpg,[18],65806,['KR'],ko,몬스터,"The story of a man who fights against greed, and experiences every hardship and adversity known to man in order to make something of himself and find love.",12.1042,/nnTcGgFYkGvJdoI2TTNbhupEu4R.jpg,2016-03-28,False,Monster,7.3,8
101,False,/yBmqsAFjJJtdHkptwlCy0WMsfKA.jpg,"[18, 10765, 10768]",66433,['KR'],ko,달의 연인 - 보보경심 려,A story of a 25-year-old Go Hajin who is transported back in time to the Goryeo Dynasty. She then wakes up in the body of Lady Hae Soo and finds herself amongst the ruling princes of the Wang Family.,12.0833,/sTW7wLyD95JRCyUEdTfxCWQWsvd.jpg,2016-08-29,False,Scarlet Heart: Ryeo,8.508,597
102,False,/d8O1bLwn7eoqv0acBwxmkxEkhqe.jpg,"[18, 35]",314784,['KR'],ko,로맨스의 절댓값,"High schooler Yeo Eui-ju secretly writes web novels by night. When four charming new teachers arrive, they inspire her stories and shake up her school.",12.0766,/wY4rhPE90jJ4bp1JZOFY0MeRJQX.jpg,2026-04-17,False,Absolute Value of Romance,8.826,46
103,False,/2avhn5tACIdOp9F5EhNytbChJib.jpg,"[35, 18]",128883,['KR'],ko,갯마을 차차차,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",12.0495,/en6lrlJ1DhyvkeZEqrk3R6EJz1p.jpg,2021-08-28,False,Hometown Cha-Cha-Cha,8.2,658
104,False,/6BdGjKqud1rFcEa7p2zGfc29z5H.jpg,"[18, 9648, 10759]",92983,['KR'],ko,배가본드,"Stuntman Cha Dal-geon gets involved in a tragic airplane crash and ends up discovering a national corruption scandal in the process. Go Hae-ri, the oldest daughter of a deceased marine, decides to work for the National Intelligence Service as a secret ops agent in order to support her mom and younger siblings, although all she wanted to do is to become a civil servant.",12.0338,/8Sud9wqG7WZMXesZhPZ4lergRvp.jpg,2019-09-20,False,Vagabond,8.281,518
105,False,/peVe0NQNdZMXwtTohnv8iwJQb2d.jpg,"[10765, 9648, 10759, 18]",135238,['KR'],ko,경성크리처,"Gyeongseong, 1945. In Seoul's grim era under colonial rule, an entrepreneur and a sleuth fight for survival and face a monster born out of human greed.",11.9828,/5wliFAD8Pjjj0YYSmupqjOldnWt.jpg,2023-12-22,False,Gyeongseong Creature,7.95,330
106,False,/oPJQvS8Xyg7chAX0jQoC2smqMxv.jpg,"[10765, 18, 35, 9648]",108284,['KR'],ko,구미호뎐,A TV producer discovers a secret supernatural world as she becomes entangled with a former deity who's spent centuries searching for his lost lover.,11.9653,/v7VEIX1yOcFWY17eUprNhAS9xEp.jpg,2020-10-07,False,Tale of the Nine Tailed,8.362,497
107,False,/w5ICY18bp2i8vvXeHYL2jkuSvoD.jpg,"[18, 9648]",229915,['KR'],ko,밤이 되었습니다,"Trapped in a deadly cursed Mafia game, the students of Yoo-il High must play the game to survive while unraveling the mysteries behind the curse.",11.9216,/ah8TT3algh20oiQUWUgxbqX35bn.jpg,2023-12-04,False,Night Has Come,7.873,122
108,False,/1ENWqq5onPtbOYSUXbB9fl7rV5h.jpg,[18],37722,['KR'],ko,드림하이,Six dedicated students at Kirin Art High School work to achieve their dreams of becoming stars in the Korean music industry.,11.917,/vqlPVNTnYNoXTqyIaW2oN1qV2lZ.jpg,2011-01-03,False,Dream High,6.906,90
109,False,/2JMQI9dyR6wzgs8kWDiDK6Npt3j.jpg,"[18, 35]",222233,['KR'],ko,닥터 슬럼프,"Once rivals in school, two brilliant doctors reunite by chance — each facing life’s worst slump and unexpectedly finding solace in each other.",11.9032,/iOWmbZEbhvrYyWm6O4W3oHf2S9B.jpg,2024-01-27,False,Doctor Slump,8.1,149
110,False,/dL5mViE22ZHnhrUU9wlklzIU4Iy.jpg,"[35, 18]",287011,['KR'],ko,오늘도 매진했습니다,"A work-obsessed cosmetics CEO and a top home-shopping host struggling with insomnia cross paths, and through an unexpected romance, begin to heal the emptiness in their lives.",11.8178,/bcnneY1DWQzmwfvsuhGGnwv9KYD.jpg,2026-04-22,False,Sold Out on You,8.384,82
111,False,/d5XO4xMMYukfDgcuAe4IBQ7MBmY.jpg,"[10765, 18]",224030,['KR'],ko,조폭인 내가 고등학생이 되었습니다,"A spirit of a middle school dropout gangster who accidentally possesses an 18-year-old boy’s body who killed himself, goes back to high school to take a revenge against the bullies with his gangster skills and encounters unexpected relationship.",11.7483,/bK5kGsWq9vGALbDgPmNiLFNFVI1.jpg,2024-05-29,False,High School Return of a Gangster,8.5,112
112,False,/eW6CqrGSRUk6xMbdCjreMQiP5W8.jpg,"[18, 80]",112833,['KR'],ko,소년심판,A tough judge balances her aversion to minor offenders with firm beliefs on justice and punishment as she tackles complex cases inside a juvenile court.,11.6976,/xH2wTVlsUlYeFEOVGFDaamHkMCm.jpg,2022-02-25,False,Juvenile Justice,8.073,260
113,False,/jIYZlXQp6Reffiuk5cSyPwrN501.jpg,[18],57486,['KR'],ko,두 여자의 방,,11.6702,/qCQWpjiwtURsV4DGOQrjUtHw0Yp.jpg,2013-08-05,False,The Women's Room,3.0,1
